Date,Close
"Jul 08, 2015",1.2483
"Jul 07, 2015",1.2485
"Jul 06, 2015",1.2487
"Jul 03, 2015",1.2492
"Jul 02, 2015",1.2494
"Jul 01, 2015",1.2502
"Jun 30, 2015",1.2485
"Jun 29, 2015",1.2491
"Jun 26, 2015",1.2493
"Jun 25, 2015",1.2479
"Jun 24, 2015",1.2489
"Jun 23, 2015",1.2495
"Jun 22, 2015",1.2483
"Jun 19, 2015",1.2482
"Jun 18, 2015",1.2488
"Jun 17, 2015",1.2482
"Jun 16, 2015",1.2484
"Jun 15, 2015",1.2487
"Jun 12, 2015",1.2493
"Jun 11, 2015",1.2494
"Jun 10, 2015",1.2492
"Jun 09, 2015",1.2497
"Jun 08, 2015",1.2492
"Jun 05, 2015",1.2496
"Jun 04, 2015",1.2502
"Jun 03, 2015",1.2508
"Jun 02, 2015",1.2505
"Jun 01, 2015",1.2508
"May 29, 2015",1.2507
"May 28, 2015",1.2505
"May 27, 2015",1.2509
"May 26, 2015",1.2492
"May 25, 2015",1.2494
"May 22, 2015",1.2504
"May 21, 2015",1.2513
"May 20, 2015",1.2503
"May 19, 2015",1.2488
"May 18, 2015",1.2498
"May 15, 2015",1.2493
"May 14, 2015",1.2501
"May 13, 2015",1.2496
"May 12, 2015",1.2488
"May 11, 2015",1.2488
"May 08, 2015",1.2492
"May 07, 2015",1.2492
"May 06, 2015",1.2502
"May 05, 2015",1.2496
"May 04, 2015",1.2487
"May 01, 2015",1.2476
"Apr 30, 2015",1.2492
"Apr 29, 2015",1.2504
"Apr 28, 2015",1.2492
"Apr 27, 2015",1.2466
"Apr 24, 2015",1.2518
"Apr 23, 2015",1.2506
"Apr 22, 2015",1.2512
"Apr 21, 2015",1.2502
"Apr 20, 2015",1.2502
"Apr 17, 2015",1.2512
"Apr 16, 2015",1.2509
"Apr 15, 2015",1.2495
"Apr 14, 2015",1.2481
"Apr 13, 2015",1.2467
"Apr 10, 2015",1.2479
"Apr 09, 2015",1.2493
"Apr 08, 2015",1.2492
"Apr 07, 2015",1.2508
"Apr 06, 2015",1.2566
"Apr 03, 2015",1.2613
"Apr 02, 2015",1.2492
"Apr 01, 2015",1.2512
"Mar 31, 2015",1.2504
"Mar 30, 2015",1.2492
"Mar 27, 2015",1.2476
"Mar 26, 2015",1.2490
"Mar 25, 2015",1.2481
"Mar 24, 2015",1.2494
"Mar 23, 2015",1.2481
"Mar 20, 2015",1.2502
"Mar 19, 2015",1.2523
"Mar 18, 2015",1.2455
"Mar 17, 2015",1.2421
"Mar 16, 2015",1.2397
"Mar 13, 2015",1.2409
"Mar 12, 2015",1.2398
"Mar 11, 2015",1.2406
"Mar 10, 2015",1.2386
"Mar 09, 2015",1.2383
"Mar 06, 2015",1.2382
"Mar 05, 2015",1.2377
"Mar 04, 2015",1.2362
"Mar 03, 2015",1.2362
"Mar 02, 2015",1.2355
"Feb 27, 2015",1.2380
"Feb 26, 2015",1.2389
"Feb 25, 2015",1.2395
"Feb 24, 2015",1.2414
"Feb 23, 2015",1.2394
"Feb 20, 2015",1.2405
"Feb 19, 2015",1.2402
"Feb 18, 2015",1.2405
"Feb 17, 2015",1.2399
"Feb 16, 2015",1.2418
"Feb 13, 2015",1.2428
"Feb 12, 2015",1.2411
"Feb 11, 2015",1.2418
"Feb 10, 2015",1.2429
"Feb 09, 2015",1.2407
"Feb 06, 2015",1.2414
"Feb 05, 2015",1.2396
"Feb 04, 2015",1.2408
"Feb 03, 2015",1.2386
"Feb 02, 2015",1.2379
"Jan 30, 2015",1.2402
"Jan 29, 2015",1.2412
"Jan 28, 2015",1.2411
"Jan 27, 2015",1.2425
"Jan 26, 2015",1.2397
"Jan 23, 2015",1.2439
"Jan 22, 2015",1.2487
"Jan 21, 2015",1.2479
"Jan 20, 2015",1.2473
"Jan 19, 2015",1.2468
"Jan 16, 2015",1.2484
"Jan 15, 2015",1.2533
"Jan 14, 2015",1.2514
"Jan 13, 2015",1.2516
"Jan 12, 2015",1.2492
"Jan 09, 2015",1.2495
"Jan 08, 2015",1.2483
"Jan 07, 2015",1.2481
"Jan 06, 2015",1.2495
"Jan 05, 2015",1.2467
"Jan 02, 2015",1.2498
"Dec 31, 2014",1.2494
"Dec 30, 2014",1.2507
"Dec 29, 2014",1.2467
"Dec 26, 2014",1.2464
"Dec 25, 2014",1.2491
"Dec 24, 2014",1.2495
"Dec 23, 2014",1.2458
"Dec 22, 2014",1.2467
"Dec 19, 2014",1.2461
"Dec 18, 2014",1.2484
"Dec 17, 2014",1.2514
"Dec 16, 2014",1.2532
"Dec 15, 2014",1.2521
"Dec 12, 2014",1.2534
"Dec 11, 2014",1.2528
"Dec 10, 2014",1.2563
"Dec 09, 2014",1.2527
"Dec 08, 2014",1.2551
"Dec 05, 2014",1.2604
"Dec 04, 2014",1.2594
"Dec 03, 2014",1.2610
"Dec 02, 2014",1.2610
"Dec 01, 2014",1.2605
"Nov 28, 2014",1.2630
"Nov 27, 2014",1.2627
"Nov 26, 2014",1.2630
"Nov 25, 2014",1.2641
"Nov 24, 2014",1.2627
"Nov 21, 2014",1.2668
"Nov 20, 2014",1.2669
"Nov 19, 2014",1.2671
"Nov 18, 2014",1.2666
"Nov 17, 2014",1.2665
"Nov 14, 2014",1.2650
"Nov 13, 2014",1.2662
"Nov 12, 2014",1.2659
"Nov 11, 2014",1.2666
"Nov 10, 2014",1.2672
"Nov 07, 2014",1.2660
"Nov 06, 2014",1.2687
"Nov 05, 2014",1.2679
