Date, Close,Volume
"Oct 6 2014",29.52,20035146
"Oct 3 2014",29.50,37862990
"Sep 30 2014",29.20,22705922
"Sep 29 2014",29.62,32777492
"Sep 26 2014",29.82,43229758
"Sep 25 2014",30.20,25830278
"Sep 24 2014",30.35,28225236
"Sep 23 2014",30.12,27446574
"Sep 22 2014",30.35,22583888
"Sep 19 2014",30.95,32648664
"Sep 18 2014",31.00,25710238
"Sep 17 2014",31.42,24153718
"Sep 16 2014",31.12,19949900
"Sep 15 2014",31.42,27480750
"Sep 12 2014",31.98,17936006
"Sep 11 2014",31.92,28815632
"Sep 10 2014",32.15,31652856
"Sep 8 2014",32.92,20233916
"Sep 5 2014",33.10,29929578
"Sep 4 2014",33.12,34804414
"Sep 3 2014",32.60,31109446
"Sep 2 2014",31.55,19993976
"Sep 1 2014",31.40,20621054
"Aug 29 2014",31.55,28749480
"Aug 28 2014",31.85,26821912
"Aug 27 2014",32.28,17420932
"Aug 26 2014",32.65,17296284
"Aug 25 2014",32.72,22676804
"Aug 22 2014",32.88,33860952
"Aug 21 2014",32.25,43395058
"Aug 20 2014",32.68,32515078
"Aug 19 2014",32.92,22574264
"Aug 18 2014",33.05,18465512
"Aug 15 2014",33.10,16925634
"Aug 14 2014",32.98,24930360
"Aug 13 2014",33.18,21996964
"Aug 12 2014",32.68,24323118
"Aug 11 2014",32.98,22368232
"Aug 8 2014",32.18,18371166
"Aug 7 2014",32.35,17069016
"Aug 6 2014",32.75,20672910
"Aug 5 2014",32.98,21576716
"Aug 4 2014",33.22,29444200
"Aug 1 2014",32.68,45694544
"Jul 31 2014",33.22,28977836
"Jul 30 2014",33.20,54030350
"Jul 29 2014",33.18,47161012
"Jul 28 2014",32.58,37116226
"Jul 25 2014",32.18,39060226
"Jul 24 2014",32.10,84624046
"Jul 23 2014",30.92,52630528
"Jul 22 2014",29.85,26978326
"Jul 21 2014",29.15,12397770
"Jul 18 2014",29.30,14983194
"Jul 17 2014",29.50,12520570
"Jul 16 2014",29.50,23911462
"Jul 15 2014",29.75,15308954
"Jul 14 2014",29.70,11666120
"Jul 11 2014",29.45,17607664
"Jul 10 2014",29.55,35422478
"Jul 9 2014",30.02,19806098
"Jul 8 2014",30.48,18131318
"Jul 7 2014",30.48,16849032
"Jul 4 2014",30.38,17830304
"Jul 3 2014",30.60,14444982
"Jul 2 2014",30.40,21198432
"Jun 30 2014",29.98,20326568
"Jun 27 2014",29.80,17183462
"Jun 26 2014",30.12,14969076
"Jun 25 2014",29.85,29820150
"Jun 24 2014",30.35,17322698
"Jun 23 2014",30.12,33959974
"Jun 20 2014",30.80,23010988
"Jun 19 2014",30.68,23171170
"Jun 18 2014",31.02,32104508
"Jun 17 2014",30.75,29322874
"Jun 16 2014",30.98,24895582
"Jun 13 2014",30.82,31211176
"Jun 12 2014",30.72,21294764
"Jun 11 2014",30.52,28365630
"Jun 10 2014",30.30,18690302
"Jun 9 2014",30.02,14034136
"Jun 6 2014",30.05,14466222
"Jun 5 2014",30.20,16778030
"Jun 4 2014",29.95,22842006
"Jun 3 2014",30.28,27612578
"May 30 2014",29.92,37210540
"May 29 2014",29.48,36565306
"May 28 2014",29.38,31281042
"May 27 2014",29.12,10986968
"May 26 2014",29.25,12674304
"May 23 2014",29.05,16070886
"May 22 2014",29.00,40911324
"May 21 2014",28.35,21870892
"May 20 2014",28.20,21249612
"May 19 2014",28.32,21264714
"May 16 2014",28.70,20096564
"May 15 2014",28.72,22553800
"May 14 2014",28.80,36865144
"May 13 2014",28.62,27532382
"May 12 2014",28.58,35941042
"May 9 2014",28.15,26383362
"May 8 2014",28.12,34074522
"May 7 2014",28.30,35990048
"May 5 2014",28.60,19653340
"May 2 2014",28.85,18389226
"Apr 30 2014",28.62,40543300
"Apr 29 2014",29.25,33094870
"Apr 28 2014",28.75,30530096
"Apr 25 2014",29.22,27018332
"Apr 24 2014",29.42,22316134
"Apr 23 2014",29.48,31187738
"Apr 22 2014",29.90,20329620
"Apr 17 2014",30.05,21297252
"Apr 16 2014",30.10,33161212
"Apr 15 2014",30.42,21341400
"Apr 14 2014",30.75,29954226
"Apr 11 2014",30.72,101684944
"Apr 10 2014",32.30,60807378
"Apr 9 2014",33.28,25454930
"Apr 8 2014",33.18,34568078
"Apr 7 2014",32.62,15363684
"Apr 4 2014",32.70,15428736
"Apr 3 2014",32.72,30193924
"Apr 2 2014",32.28,22043118
"Apr 1 2014",32.42,28767832
"Mar 31 2014",32.15,23796192
"Mar 28 2014",32.12,32791256
"Mar 27 2014",31.80,32350446
"Mar 26 2014",31.60,33595456
"Mar 25 2014",30.90,19024880
"Mar 24 2014",31.20,41200372
"Mar 21 2014",30.20,33941706
"Mar 20 2014",29.90,20658280
"Mar 19 2014",30.40,28139504
"Mar 18 2014",29.98,20593720
"Mar 17 2014",29.85,35522328
"Mar 14 2014",30.22,37723752
"Mar 13 2014",30.58,31773364
"Mar 12 2014",30.28,30017948
"Mar 11 2014",30.50,17164398
"Mar 10 2014",30.70,23467284
"Mar 7 2014",31.25,21242852
"Mar 6 2014",31.05,20852380
"Mar 5 2014",30.88,25118478
"Mar 4 2014",31.12,13691124
"Mar 3 2014",30.92,24753618
"Feb 28 2014",31.52,23792812
"Feb 27 2014",31.80,29456060
"Feb 26 2014",31.30,25503478
"Feb 25 2014",31.20,22830850
"Feb 24 2014",31.72,19519294
"Feb 21 2014",32.12,13194538
"Feb 20 2014",32.20,27567342
"Feb 19 2014",33.00,14362394
"Feb 18 2014",33.15,17980930
"Feb 17 2014",33.25,41292818
"Feb 14 2014",32.00,16733666
"Feb 13 2014",31.88,19337264
"Feb 12 2014",32.20,45396192
"Feb 11 2014",31.82,50686816
"Feb 10 2014",30.20,28378672
"Feb 7 2014",30.40,24195478
"Feb 6 2014",30.18,33180554
"Feb 5 2014",30.08,37698570
"Feb 4 2014",30.40,48656624
"Jan 30 2014",31.42,26647698
"Jan 29 2014",32.20,40385814
"Jan 28 2014",31.58,54000726
"Jan 27 2014",31.60,51592618
"Jan 24 2014",33.00,35075274
"Jan 23 2014",33.38,29466546
"Jan 22 2014",33.80,22860378
